Metric,Value,Unit,Description
Time Range Start,2025-12-29 06:27:37.747986,,First recorded timestamp
Time Range End,2025-12-30 16:53:13,,Last recorded timestamp
Total Duration,34.43,hours,Total monitoring period
Total Trades,4404.0,trades,Cumulative trades executed
Avg Trades Per Period,18.54,trades/interval,Average trade rate
Total Errors,581.0,errors,Cumulative errors encountered
Avg CPU Usage,10.92,seconds,Average CPU time per interval
Max CPU Usage,940.00,seconds,Peak CPU time
Avg Memory Usage,211.86,MB,Average memory footprint
Max Memory Usage,787.22,MB,Peak memory usage
System Restarts,4.0,restarts,Number of system restarts
